"camis","dba","boro","cuisine_description","inspection_date","action","critical_flag","score","grade","inspection_type","violation_description"
"41662362","HAPPY GARDEN","Brooklyn","Chinese","2025-08-27T00:00:00.000","Violations were cited in the following area(s).","Not Critical","30",,"Cycle Inspection / Initial Inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"50056678","TOMPKINS SQUARE BAGELS","Manhattan","Bagels/Pretzels","2026-05-13T00:00:00.000","Violations were cited in the following area(s).","Critical","32",,"Cycle Inspection / Initial Inspection","Live roaches in facility's food or non-food area."
"40372357","MARINA CAFE","Staten Island","Italian","2023-01-23T00:00:00.000","Violations were cited in the following area(s).","Not Critical","7","A","Cycle Inspection / Re-inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"41604438","MOLLY'S CUPCAKES","Manhattan","Bakery Products/Desserts","2025-03-10T00:00:00.000","Violations were cited in the following area(s).","Not Critical","13","A","Cycle Inspection / Initial Inspection","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"41636558","JOE'S PIZZA","Manhattan","Pizza","2025-08-11T00:00:00.000","Violations were cited in the following area(s).","Critical","63","C","Cycle Inspection / Re-inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"50017041","JUST SALAD","Manhattan","Salads","2024-06-24T00:00:00.000","Establishment re-closed by DOHMH.","Not Critical","10",,"Cycle Inspection / Reopening Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50042980","DELICIAS CUENCANAS RESTAURANT","Queens","Spanish","2025-10-11T00:00:00.000","Violations were cited in the following area(s).","Critical","23",,"Cycle Inspection / Initial Inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"50174106","CHICK-FIL-A","Queens","Chicken","2025-09-04T00:00:00.000","Violations were cited in the following area(s).","Not Critical","40",,"Pre-permit (Operational) / Initial Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50121576","DAVE & BUSTER'S","Brooklyn","American","2024-11-13T00:00:00.000","Violations were cited in the following area(s).","Critical","50",,"Cycle Inspection / Initial Inspection","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored."
"50069662","THE COUPE","Staten Island","Tapas","2024-10-05T00:00:00.000","Violations were cited in the following area(s).","Critical","15",,"Cycle Inspection / Initial Inspection","Food Protection Certificate (FPC) not held by manager or supervisor of food operations."
"41456863","THE MAD DONKEY","Queens","American","2022-04-27T00:00:00.000","Violations were cited in the following area(s).","Not Critical","29",,"Cycle Inspection / Initial Inspection","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly."
"50120402","YEMEN CAFE OF BAY RIDGE","Brooklyn","Middle Eastern","2022-08-03T00:00:00.000","Violations were cited in the following area(s).","Critical","7","A","Pre-permit (Operational) / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"50081395","GOLDEN PALACE","Queens","Chinese","2025-05-13T00:00:00.000","Violations were cited in the following area(s).","Critical","53","C","Cycle Inspection / Re-inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"50001262","BRYANT PARK GRILL","Manhattan","American","2026-01-06T00:00:00.000","Violations were cited in the following area(s).","Critical","18",,"Cycle Inspection / Initial Inspection","Live roaches in facility's food or non-food area."
"50131267","D & P 44TH FLOOR COFFEE BAR/MARKET","Manhattan","Coffee/Tea","2023-07-05T00:00:00.000","Violations were cited in the following area(s).","Not Critical","6","A","Pre-permit (Operational) / Initial Inspection","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"40554463","EL GAUCHITO","Queens","Latin American","2025-06-09T00:00:00.000","Violations were cited in the following area(s).","Critical","12","A","Cycle Inspection / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"50071370","HAGANE HIBACHI JAPANESE GRILL","Queens","Japanese","2025-12-01T00:00:00.000","Violations were cited in the following area(s).","Critical","47",,"Cycle Inspection / Initial Inspection","Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site."
"50168037","BELLA PIZZA","Queens","Pizza","2025-09-04T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","Critical","35",,"Cycle Inspection / Initial Inspection","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation."
"40992090","MCDONALD'S","Staten Island","Hamburgers","2024-02-22T00:00:00.000","Violations were cited in the following area(s).","Not Critical","9","A","Cycle Inspection / Initial Inspection","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"50043137","LION'S MILK","Brooklyn","Turkish","2025-09-22T00:00:00.000","Violations were cited in the following area(s).","Not Critical","12","A","Cycle Inspection / Initial Inspection","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used."
"50154893","EATERNITI","Queens","Thai","2025-09-23T00:00:00.000","Violations were cited in the following area(s).","Critical","40",,"Pre-permit (Operational) / Initial Inspection","Live roaches in facility's food or non-food area."
